start,end,iso3,FiveYrSD,FiveYrAverageGDPgrowth
2003,2007,BGR,.98574215,6.6595535
2004,2008,BGR,.76555848,6.7734499
2005,2009,BGR,4.9981346,4.618391
2006,2010,BGR,5.0888581,3.1820643
2007,2011,BGR,4.6916871,2.1474373
2008,2012,BGR,3.5380545,.66036731
2009,2013,BGR,2.3331606,-.2130338
2010,2014,BGR,.73681444,.94095737
2011,2015,BGR,.62966979,1.1625572
1997,2001,BHR,1.172986,3.9948061
1998,2002,BHR,1.0932648,4.0990357
1999,2003,BHR,1.3878264,4.3458252
2000,2004,BHR,1.8171763,4.8820152
2001,2005,BHR,2.0101452,5.1758041
2002,2006,BHR,1.3658173,5.9713106
2003,2007,BHR,.85381246,6.90697
2004,2008,BHR,.80070454,6.9512053
2005,2009,BHR,2.1260033,6.0629706
2006,2010,BHR,2.2013466,5.5760641
2007,2011,BHR,2.5909617,4.7023873
2008,2012,BHR,1.6415752,3.7616394
2009,2013,BHR,1.3416072,3.5952013
2010,2014,BHR,1.2365893,3.9834337
2011,2015,BHR,1.4098032,3.8956904
1997,2001,BHS,1.997975,4.1395435
1998,2002,BHS,1.845865,4.2680211
1999,2003,BHS,3.0366209,3.0717776
2000,2004,BHS,2.0767057,1.8195285
2001,2005,BHS,1.8836524,1.6687378
2002,2006,BHS,1.8704211,1.6469851
2003,2007,BHS,1.774747,1.3953637
2004,2008,BHS,2.1869814,1.1835252
2005,2009,BHS,3.2649951,.1718965
2006,2010,BHS,2.8909137,-.19940627
2007,2011,BHS,2.5488348,-.58019853
2008,2012,BHS,2.7196455,-.42604035
2009,2013,BHS,2.5041931,.043153122
2010,2014,BHS,.84330815,1.0827621
2011,2015,BHS,.92821252,.96875799
1997,2001,BIH,12.267974,13.897915
1998,2002,BIH,4.6580024,8.079999
1999,2003,BIH,2.2345021,5.7599998
2000,2004,BIH,.85029417,5.0599999
2001,2005,BIH,1.8875973,5.7116461
2002,2006,BIH,1.7643126,5.9073415
2003,2007,BIH,1.7376319,5.9930925
2004,2008,BIH,1.4078163,6.2893944
2005,2009,BIH,4.3500714,4.4954181
2006,2010,BIH,3.8291314,2.8972228
2007,2011,BIH,3.6211808,2.0031772
2008,2012,BIH,3.0950685,.67078823
2009,2013,BIH,2.0148566,.053325046
2010,2014,BIH,1.1861801,.84367645
2011,2015,BIH,1.3687942,.86278206
1997,2001,BLR,3.1847,6.7450609
1998,2002,BLR,1.8515925,5.4741144
1999,2003,BLR,1.3459754,5.2027531
2000,2004,BLR,2.7414362,6.8127017
2001,2005,BLR,2.8782997,7.532702
2002,2006,BLR,2.5387027,8.5876408
2003,2007,BLR,1.6358916,9.2985868
2004,2008,BLR,1.0532354,9.9299488
2005,2009,BLR,4.2275286,7.6799998
2006,2010,BLR,4.122581,7.3481565
2007,2011,BLR,3.8805521,6.4568987
2008,2012,BLR,4.1393452,5.0831766
